"Date","Minutes","Seconds","Distance"
"9/5/23",32,57,3.1
"9/4/23",33,25,3.23
"9/3/23",36,58,3.5
"9/1/23",53,55,5.05
"8/30/23",NA,NA,3.47
"8/29/23",NA,NA,4.02
"8/28/23",NA,NA,2.83
"8/25/23",NA,NA,3.9
"8/24/23",NA,NA,3.87
"8/22/23",NA,NA,4.01
"8/21/23",NA,NA,3.89
"8/18/23",NA,NA,3.83
"8/17/23",NA,NA,3.74
"8/15/23",NA,NA,3.46
"8/14/23",NA,NA,3.42
"8/4/23",NA,NA,2.88
"9/7/23",NA,NA,2.25
"9/8/23",NA,NA,3
"09/12/23",NA,NA,6
"9/10/23",NA,NA,3
"09/13/23",NA,NA,2.5
"9/15/23",NA,NA,2.5
"9/16/23",NA,NA,2.7
"9/17/23",NA,NA,2.8
"9/19/23",NA,NA,7.09
"9/20/23",NA,NA,2.8
"9/22/23",NA,NA,2.6
"9/24/23",NA,NA,2.8
"9/26/23",NA,NA,8.16
"9/27/23",NA,NA,2.5
"9/29/23",NA,NA,3.12
"10/1/23",NA,NA,3.8
"10/3/23",NA,NA,7.1
"10/4/23",NA,NA,2.7
"10/5/23",NA,NA,3.1
"10/6/23",NA,NA,4.27
"10/10/23",NA,NA,9.59
"10/12/23",NA,NA,2.28
"10/14/23",NA,NA,2.65
"10/16/23",NA,NA,2.91
"10/17/23",NA,NA,5
"10/19/23",NA,NA,10.16
"10/21/23",NA,NA,3
"10/23/23",NA,NA,3
"10/24/23",NA,NA,3
"10/26/23",NA,NA,11.44
"10/28/23",NA,NA,3
"10/29/23",NA,NA,3
"10/31/23",NA,NA,3
"11/2/23",NA,NA,12.2
"11/4/23",NA,NA,3.1
"11/5/23",NA,NA,5
"11/7/23",NA,NA,3
"11/8/23",NA,NA,3
"11/12/23",NA,NA,13.2
"11/14/23",NA,NA,3
"11/18/23",NA,NA,4.2
